label,conductor,delta,rank,a_invariants_raw
345b1,345,-1035,1,"[0, 1, 1, -1, 1]"
345c1,345,-8500170375,0,"[1, 0, 1, 456, 2401]"
345d1,345,-46575,0,"[1, 0, 0, 9, 0]"
3450,345,-4927635,0,"[0, -1, 1, 30, -97]"
345f1,345,-18862875,1,"[0, 1, 1, -100, 406]"
346a1,346,346,0,"[1, 0, 0, -16, -26]"
346b1,346,22144,1,"[1, 1, 1, -7, -3]"
347a1,347,-347,1,"[0, 1, 1, 2, 0]"
348a1,348,-1392,1,"[0, -1, 0, 2, 1]"
348b1,348,-1392,0,"[0, 1, 0, -2, -3]"
348c1,348,-6657892848,0,"[0, -1, 0, -94, 3973]"
348d1,348,-1014768,1,"[0, 1, 0, -50, 129]"
350a1,350,-43750000,0,"[1, -1, 0, 58, -284]"
350b1,350,-153125000,0,"[1, 0, 0, 112, 392]"
350c1,350,-9800,1,"[1, 1, 0, 5, 5]"
350d1,350,-437500,0,"[1, 1, 1, -13, 31]"
3500,350,-9.8E+11,0,"[1, -1, 0, -4492, 126416]"
350f1,350,-62720000,1,"[1, -1, 1, -180, 1047]"
352a1,352,-45056,0,"[0, 1, 0, -45, -133]"
352b1,352,-45056,1,"[0, 1, 0, 3, 11]"
352c1,352,-45056,1,"[0, -1, 0, -45, 133]"
352d1,352,-45056,1,"[0, -1, 0, 3, -11]"
3520,352,-5451776,0,"[0, 0, 0, 8, -112]"
352f1,352,-5451776,1,"[0, 0, 0, 8, 112]"
353a1,353,-124609,0,"[1, 1, 1, -2, 16]"
354a1,354,708,0,"[1, 1, 1, -3, -3]"
354b1,354,-86022,0,"[1, 0, 1, 9, -8]"
354c1,354,-1376352,1,"[1, 1, 0, -715, 7069]"
354d1,354,25488,0,"[1, 1, 0, -34, -92]"
3540,354,4.87083E+12,0,"[1, 1, 1, -23511, -1393299]"
354f1,354,-67968,1,"[1, 1, 1, -5, 11]"
355a1,355,-8875,0,"[0, 1, 1, 5, -1]"
356a1,356,-22784,1,"[0, -1, 0, 4, -8]"
357a1,357,-5.27111E+12,0,"[0, -1, 1, 3565, 72914]"
357b1,357,-122451,1,"[0, -1, 1, -5, -16]"
357c1,357,-722211,0,"[0, 1, 1, 20, -17]"
357d1,357,-1821771,1,"[0, 1, 1, -42, 110]"
358a1,358,-23461888,0,"[1, 1, 0, 55, 197]"
358b1,358,-1432,0,"[1, 0, 0, -18, 28]"
359a1,359,359,1,"[1, 0, 1, -23, 39]"
359b1,359,359,1,"[1, -1, 1, -7, 8]"
360a1,360,524880,0,"[0, 0, 0, -138, -623]"
360b1,360,-138240,0,"[0, 0, 0, -3, -18]"
360c1,360,-100776960,0,"[0, 0, 0, -27, 486]"
360d1,360,-2799360,0,"[0, 0, 0, 33, 34]"
3600,360,58320,1,"[0, 0, 0, -18, -27]"
361a1,361,-6859,1,"[0, 0, 1, -38, 90]"
361b1,361,-893871739,0,"[0, -1, 1, 241, -17]"
