delta,conductor,rank,regulator,real_period,torsion_order,label,x_ptd,y_ptd,z_ptd,x_mcj,y_mcj,z_mcj
141.0,141,1,,,,141d1,17286340426.865257,500000.0,0.0,374447357307.25464,500000.0,0.5
141.0,141,0,,,,141e1,17286340426.865257,500000.0,0.0,374447357307.25464,500000.0,0.5
36352.0,142,1,,,,142a1,89027242632.43768,500000.0,0.0,375484763240.95184,500000.0,0.5
142.0,142,1,,,,142b1,17377655739.51443,500000.0,0.0,375484763240.95184,500000.0,0.5
-4544.0,142,0,,,,142c1,62158647547.59147,500000.0,0.0,375484763240.95184,500000.0,0.5
568.0,142,0,,,,142d1,35290052462.74525,500000.0,0.0,375484763240.95184,500000.0,0.5
9529458688.0,142,0,,,,142e1,250238813141.51498,500000.0,0.0,375484763240.95184,500000.0,0.5
-1859.0,143,1,,,,143a1,50610202378.54567,500000.0,0.0,376514889073.0452,500000.0,0.5
-432.0,144,0,,,,144a1,31753611404.845783,500000.0,0.0,377537836269.606,500000.0,0.5
-34992.0,144,0,,,,144b1,88534565613.56847,500000.0,0.0,377537836269.606,500000.0,0.5
145.0,145,1,,,,145a1,17647792330.38145,500000.0,0.0,378553704190.1094,500000.0,0.5
-7411887.0,147,0,,,,147a1,157736172280.0403,500000.0,0.0,380564589453.37506,500000.0,0.5
-17294403.0,147,0,,,,147b1,168684161281.26486,500000.0,0.0,380564589453.37506,500000.0,0.5
-147.0,147,0,,,,147c1,17824795960.83333,500000.0,0.0,380564589453.37506,500000.0,0.5
9472.0,148,1,,,,148a1,71649586892.92323,500000.0,0.0,381559795493.535,500000.0,0.5
-1500.0,150,0,,,,150a1,47837683374.91055,500000.0,0.0,383530191905.72107,500000.0,0.5
-23437500.0,150,0,,,,150b1,172611574970.2244,500000.0,0.0,383530191905.72107,500000.0,0.5
-33750000.0,150,0,,,,150c1,177323151599.3786,500000.0,0.0,383530191905.72107,500000.0,0.5
-4864.0,152,1,,,,152a1,63037970630.92982,500000.0,0.0,385474489583.96716,500000.0,0.5
-38912.0,152,0,,,,152b1,89906565715.77603,500000.0,0.0,385474489583.96716,500000.0,0.5
-459.0,153,1,,,,153a1,32536945960.3543,500000.0,0.0,386437065680.0847,500000.0,0.5
-334611.0,153,1,,,,153b1,117708377273.43834,500000.0,0.0,386437065680.0847,500000.0,0.5
12393.0,153,0,,,,153c1,75122661616.89633,500000.0,0.0,386437065680.0847,500000.0,0.5
-334611.0,153,0,,,,153d1,117708377273.43834,500000.0,0.0,386437065680.0847,500000.0,0.5
-54208.0,154,1,,,,154a1,94190231614.85962,500000.0,0.0,387393370877.65344,500000.0,0.5
-3469312.0,154,0,,,,154b1,147927421784.55203,500000.0,0.0,387393370877.65344,500000.0,0.5
-13552.0,154,0,,,,154c1,76277834891.6288,500000.0,0.0,387393370877.65344,500000.0,0.5
-96875.0,155,1,,,,155a1,101692110176.14503,500000.0,0.0,388343486354.2093,500000.0,0.5
-775.0,155,0,,,,155b1,39305164378.4881,500000.0,0.0,388343486354.2093,500000.0,0.5
-155.0,155,1,,,,155c1,18509515779.26913,500000.0,0.0,388343486354.2093,500000.0,0.5
1872.0,156,1,,,,156a1,50700244993.536934,500000.0,0.0,389287491721.1404,500000.0,0.5
